id,callingPartyNumber,originalCalledPartyNumber,duration
910,1614,1617,13
911,b002179164511001,7777,12
912,b002179164511001,7777,12
913,b002179164211001,7777,12
914,b002179164211001,7777,12
915,1426,1916,5
916,b001179472111001,7777,4
917,b001179472111001,7777,4
918,543931778,99,24
919,1426,1916,6
920,b001179472111001,7777,6
921,b001179472111001,7777,5
922,541766366,99,26
923,1617,558781489,25
924,b002179164211001,7777,25
925,b002179164211001,7777,25
926,1409,1005,32
927,b001179547611001,7777,32
928,b001179547611001,7777,31
929,b001179468211001,7777,32
930,b001179468211001,7777,32
931,1421,1017,2
932,b001179484011001,7777,2
933,b001179484011001,7777,1
934,b001179533011001,7777,202
935,b001179533011001,7777,202
936,1036,1006,176
937,b001179516011001,7777,176
938,b001179516011001,7777,176
939,b001179534011001,7777,177
940,b001179534011001,7777,177
941,1425,1308,67
942,b001179475011001,7777,67
943,b001179475011001,7777,66
944,b001179470811001,7777,67
945,b001179470811001,7777,66
946,1421,1017,4
947,b001179484011001,7777,4
948,b001179484011001,7777,3
949,541766366,1017,179
950,b001179514911001,7777,178
951,b001179514911001,7777,178
952,1003,4.42E+11,46
953,b001179515111001,7777,46
954,b001179515111001,7777,46
955,1030,537575004,71
956,b001179541111001,7777,71
957,b001179541111001,7777,71
958,543931778,93,438
959,b001179533011001,7777,191
960,b001179533011001,7777,191
961,1426,1046,2
962,b001179472111001,7777,2
963,b001179472111001,7777,2
964,1421,1419,6
965,b001179484011001,7777,6
966,b001179484011001,7777,6
967,1036,1031,345
968,b001179530111001,7777,345
969,b001179530111001,7777,345
970,b001179516011001,7777,345
971,b001179516011001,7777,345
972,1046,1414,113
973,b001179514211001,7777,112
974,b001179514211001,7777,112
975,b001179473611001,7777,113
976,b001179473611001,7777,113
977,2802,1009,98
978,b001179534711001,7777,98
979,b001179534711001,7777,97
980,1046,1426,89
981,b001179514211001,7777,88
982,b001179514211001,7777,88
983,b001179472111001,7777,88
984,b001179472111001,7777,88
985,1409,1008,6
986,b001179468211001,7777,6
987,b001179468211001,7777,5
988,1017,509226769,424
989,b001179514911001,7777,423
990,b001179514911001,7777,423
991,1421,1009,6
992,b001179484011001,7777,6
993,b001179484011001,7777,6
994,1716,509724885,326
995,b001179548211001,7777,326
996,b001179548211001,7777,326
997,1022,1018,11
998,b001179517311001,7777,11
999,b001179517311001,7777,11
1000,b001179514611001,7777,11
1001,b001179514611001,7777,11
1002,1804,1414,2
1003,b001179526311001,7777,2
1004,b001179526311001,7777,2
1005,2802,1009,2
1006,1904,1415,6
1007,b001179469911001,7777,6
1008,b001179469911001,7777,6
1009,2802,1009,52
1010,b001179534711001,7777,51
1011,b001179534711001,7777,51
1012,1023,1950,49
1013,b001179513011001,7777,49
1014,b001179513011001,7777,49
1015,b001179517611001,7777,49
1016,b001179517611001,7777,48
1017,1003,4.42E+11,32
1018,b001179515111001,7777,32
1019,b001179515111001,7777,32
1020,1611,1508,3
1021,b002179169511001,7777,3
1022,b002179169511001,7777,2
1023,1711,1500,20
1024,b001179474711001,7777,20
1025,b001179474711001,7777,20
1026,b001179460711001,7777,20
1027,b001179460711001,7777,20
1028,1003,540216229,230
1029,b001179515111001,7777,230
1030,b001179515111001,7777,229
1031,1950,1951,16
1032,b001179522111001,7777,15
1033,b001179522111001,7777,15
1034,b001179517611001,7777,15
1035,b001179517611001,7777,15
1036,1023,1950,3
1037,b001179513011001,7777,3
1038,b001179513011001,7777,3
1039,1023,1950,13
1040,b001179513011001,7777,13
1041,b001179513011001,7777,13
1042,b001179517611001,7777,13
1043,b001179517611001,7777,13
1044,1030,1008,3
1045,b001179541111001,7777,3
1046,b001179541111001,7777,2
1047,2802,1005,66
1048,b001179547611001,7777,66
1049,b001179547611001,7777,65
1050,1009,2802,67
1051,b001179534711001,7777,67
1052,b001179534711001,7777,67
1053,1046,1703,257
1054,b001179514211001,7777,256
1055,b001179514211001,7777,256
1056,b001179471411001,7777,256
1057,b001179471411001,7777,256
1058,122238416,99,14
1059,1015,1049,65
1060,b001179533211001,7777,64
1061,b001179533211001,7777,64
1062,b001179537211001,7777,64
1063,b001179537211001,7777,64
1064,1009,1407,38
1065,b001179470911001,7777,37
1066,b001179470911001,7777,37
1067,b001179534711001,7777,37
